athlete,competition,sport_rank_points,score
sebrle,decastar,100_meters,11.04
sebrle,decastar,long_jump,7.58
sebrle,decastar,shot_put,14.83
sebrle,decastar,high_jump,2.07
sebrle,decastar,400_meters,49.81
sebrle,decastar,110_meters_hurdle,14.69
sebrle,decastar,discus,43.75
sebrle,decastar,pole_vault,5.02
sebrle,decastar,javeline,63.19
sebrle,decastar,1500_meters,291.7
sebrle,decastar,rank,1
sebrle,decastar,points,8217
clay,decastar,100_meters,10.76
clay,decastar,long_jump,7.4
clay,decastar,shot_put,14.26
clay,decastar,high_jump,1.86
clay,decastar,400_meters,49.37
clay,decastar,110_meters_hurdle,14.05
clay,decastar,discus,50.72
clay,decastar,pole_vault,4.92
clay,decastar,javeline,60.15
clay,decastar,1500_meters,301.5
clay,decastar,rank,2
clay,decastar,points,8122
karpov,decastar,100_meters,11.02
karpov,decastar,long_jump,7.3
karpov,decastar,shot_put,14.77
karpov,decastar,high_jump,2.04
karpov,decastar,400_meters,48.37
karpov,decastar,110_meters_hurdle,14.09
karpov,decastar,discus,48.95
karpov,decastar,pole_vault,4.92
karpov,decastar,javeline,50.31
karpov,decastar,1500_meters,300.2
karpov,decastar,rank,3
karpov,decastar,points,8099
bernard,decastar,100_meters,11.02
bernard,decastar,long_jump,7.23
bernard,decastar,shot_put,14.25
bernard,decastar,high_jump,1.92
bernard,decastar,400_meters,48.93
bernard,decastar,110_meters_hurdle,14.99
bernard,decastar,discus,40.87
bernard,decastar,pole_vault,5.32
bernard,decastar,javeline,62.77
bernard,decastar,1500_meters,280.1
bernard,decastar,rank,4
bernard,decastar,points,8067
yurkov,decastar,100_meters,11.34
yurkov,decastar,long_jump,7.09
yurkov,decastar,shot_put,15.19
yurkov,decastar,high_jump,2.1
yurkov,decastar,400_meters,50.42
yurkov,decastar,110_meters_hurdle,15.31
yurkov,decastar,discus,46.26
yurkov,decastar,pole_vault,4.72
yurkov,decastar,javeline,63.44
yurkov,decastar,1500_meters,276.4
yurkov,decastar,rank,5
yurkov,decastar,points,8036
warners,decastar,100_meters,11.11
warners,decastar,long_jump,7.6
warners,decastar,shot_put,14.31
warners,decastar,high_jump,1.98
warners,decastar,400_meters,48.68
warners,decastar,110_meters_hurdle,14.23
warners,decastar,discus,41.1
warners,decastar,pole_vault,4.92
warners,decastar,javeline,51.77
warners,decastar,1500_meters,278.1
warners,decastar,rank,6
warners,decastar,points,8030
zsivoczky,decastar,100_meters,11.13
zsivoczky,decastar,long_jump,7.3
zsivoczky,decastar,shot_put,13.48
zsivoczky,decastar,high_jump,2.01
zsivoczky,decastar,400_meters,48.62
zsivoczky,decastar,110_meters_hurdle,14.17
zsivoczky,decastar,discus,45.67
zsivoczky,decastar,pole_vault,4.42
